"site","org","region","country","state","suborg","site_type","incident_url","case_number","status","severity","potential_severity","recordable","creator","created_at","updated_at","is_primary_incident","sub_event_type","sub_event_type_details","incident_date","incident_time","date_reported","time_reported","last_update_to_recordability","last_update_to_severity","map_external_service","map_external_service_id","initial_info_risk_assessment_category","initial_info_risk_assessment_group","initial_info_risk_assessment_hazard","initial_info_risk_assessment_likeliness","initial_info_risk_assessment_severity","initial_risk_assessment_criticality","initial_risk_assessment_likeliness","initial_risk_assessment_severity","post_risk_assessment_criticality","post_risk_assessment_likeliness","post_risk_assessment_severity","initial_info_phase_status","initial_info_updated_at","initial_info_contractor_firm_related","investigation_contractor_firm","initial_info_contractor_type","initial_info_contractor_department","initial_info_employee_occupation","initial_info_agency_name","initial_info_incident_description","initial_info_fire_description","initial_info_fire_extinguished_by","initial_info_fire_hose_used","initial_info_fire_number_of_fire_hoses_used","initial_info_incident_location","initial_info_site_alarm_activated","initial_info_fire_site_emergency_response_activated","initial_info_fire_sprinkler_system_activated","initial_info_shift","initial_info_shift_start_time","initial_info_manager_supervisor_alias","investigation_phase_status","investigation_updated_at","investigation_witness_statements_available","investigation_witness_statements_description","investigation_documentation_activity_or_processes","investigation_documentation_associate_or_personal","investigation_documentation_equipment","investigation_documentation_policies_upload","investigation_documentation_standards_policies","investigation_evidence_near_incident_location","investigation_evidence_near_incident_location_description","investigation_object_substance_involved","investigation_primary_object_type","investigation_secondary_object_type","investigation_photos_available","investigation_recreation_photos_available","investigation_tools_or_equipment_condition","investigation_tools_or_equipment_condition_description","investigation_primary_impact","investigation_secondary_impact","investigation_video_footage_available","rca_phase_status","rca_updated_at","rca_primary_cause","rca_root_cause_variant","rca_root_cause_other","rca_contributing_factor_category","rca_contributing_factor_human_behaviour","rca_contributing_factor_org_process","rca_contributing_factor_org_workplace","rca_contributing_factor_tech_equipment","rca_contributing_factor_tech_material","rca_contributing_factorhuman_leadership","rca_external_analysis_link","rca_comments","badge_color"
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/827a616c-d0e5-4c1c-aca0-8eccef9d493d/summary","HDC3-26-88","CLOSED","PENDING","B",0,"maffemar","2026-03-08 10:19:30.037","2026-03-09 19:51:33.131",1,,"Machinery","2026-03-07 00:00:00","2026-03-08T03:43:00Z","2026-03-07 00:00:00","2026-03-08T03:45:00Z","2026-03-08 10:19:30.037","2026-03-08 10:19:30.037","Austin",,"Fire and Explosion Hazard","Safety","Fire","HIGHLY_UNLIKELY","SIGNIFICANT","LOW","HIGHLY_UNLIKELY","SIGNIFICANT",,,,"COMPLETED","2026-03-09 19:51:32.156","No One",,,,,,"SSD-DC- HDC3 (Thermal Event, corrugate auger) On 3/7/2026, at approximately 2242 hrs, a burning odor was detected in the trash compactor / corrugate auger area. Operations and Safety personnel responded to assess the situation. Smoke was observed coming from the compactor system, and an attempt was made to suppress the fire using a portable fire extinguisher; however, the fire continued to produce smoke. Due to increasing smoke and visible fire conditions, the decision was made to activate the site fire alarm and initiate a full building evacuation. All associates evacuated in accordance with emergency procedures and reported to designated assembly areas where headcounts were conducted and all personnel were accounted for. The local Fire Department responded, extinguished the fire within the compactor system, and cleared the scene. Following fire suppression activities, a site Safety Specialist conducted air quality monitoring within the facility prior to resumption of normal operations.
Timeline of Events:
•	2242 hrs – Burning odor detected in trash compactor / corrugate auger area.
•	2243 hrs – Operations and Safety personnel notified and responded to the location.
•	2245 hrs – Smoke observed; attempt made to extinguish fire using portable fire extinguisher.
•	2247 hrs – Fire and smoke conditions further assessed from top of auger / compactor system.
•	2248 hrs – Decision made to activate facility fire alarm and initiate evacuation.
•	2249 hrs – Fire alarm activated; building evacuation in progress.
•	2259 hrs – Fire Department arrived on scene.
•	~2315 hrs- Evacuation complete; all personnel at designated assembly areas.
•	2320 hrs – Fire suppressed within compactor system.
•	2323 hrs – Fire Department cleared the scene and departed facility.
•	2330 hrs – Facility cleared for re-entry. 
•	Between 2330 and 0130:
      -  Safety Specialist on site conducted air quality monitoring inside the breakroom, generating safe CO and CO2 concentration in the air.  
     - Associates brought inside to main breakroom. 
   ","Auger / Trash Compactor initially ignited the fire.","Employee","True","0 to 3","Outbound Dock","True","True","False",,,,"COMPLETED","2026-03-08 10:37:07.361","False",,"False","False","False",,"False","False",,"False",,,"False","False","False",,"Emergent Health Event","Emergent Health Event","True",,,,,,,,,,,,,,,
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/ac207768-532e-4269-999e-04f84ac9ded2/summary","HDC3-23-84","CLOSED","PENDING","B",0,"stockda","2023-09-08 17:05:07.884","2025-02-06 21:05:41.773",0,,"Flammable Liquid","2023-09-07 00:00:00","2023-09-09T02:55:00.311Z","2023-09-07 00:00:00","2023-09-09T03:15:00.851Z","2023-09-08 17:05:07.884","2023-09-08 17:05:07.884","Austin",,"Thermal","Safety","Fire/Flame","HIGHLY_UNLIKELY","SIGNIFICANT","LOW","HIGHLY_UNLIKELY","SIGNIFICANT","LOW","HIGHLY_UNLIKELY","SIGNIFICANT","COMPLETED","2025-02-06 21:44:19.622","No One",,,,,,"Video footage shows that at 10:55:34 the 3rd regulator on the right side of the propane tank ruptured, visible flare up can be seen.  Guard shack officer is notified at 11:10 by a truck driver that there was an open flame up by the front entrance of the road.  Security notifies a manager at 11:30 pm.  Ops Manager and Security notify CBRE to check it out at 12:00 am  per security incident report.    Attempting to locate the source of the flame CBRE initially went to the hydrogen tank (located at the opposite side of the building) not seeing any flames they realized that it was the propane tank.  At 12:13 am CBRE informs security that there was a fire near the propane tank and to notify the authorities.  (11 was contacted at 12:13 am.  Police and fire department arrived on scene at 12:21 am.  Cleared the premises at 01:12 am.  Building evacuation commenced at 12:10 am, all clear issued by the fire department at 01:10 hrs.  Penn Valley Systems was contacted and arrived at the site at 3:27 am. The dispatched tech explained that there are 2 lines that feed the regulator tanks. The tanks transpose the liquid propane supply to gas. There is a main regulator line that has an emergency shut off button and a back up line that feeds the regulator tanks that is all manually shut off. The 3 regulator tanks have an electrical pilot lighting system.  Technician shut off all valves supplying the three regulator tanks, on both supply lines. After the tanks there are also two supply lines to the building. Technician drained and bled both supply lines to the building. Lastly the technician shut off the actual supply feed valve right at the building and verified no gas pressure. The tech will be contacting Hiltz propane systems to ensure that they will be coming out to determine cause","Undetermined at this time pending further investigation however it is believed that  a fitting came loose which allowed propane to seep through flowing down to the vent which acted as the gas source and in turn ignited due to the proximity of the vapor flame.","Other","False",,"Yard","True","True","False",,,,"COMPLETED","2025-02-06 22:00:57.585","False",,"False","False","False",,"False","False",,"False",,,"True","False","False",,"Exposure to or contact with","Fire or flame","False","COMPLETED","2025-02-06 22:00:47.666","Equipment damage","Other","It is suspected that a fitting came loose which allowed propane to seep through, which flowed down to the vent which acted as the gas source and in turn ignited because of the proximity of the vapor flame.  ","Technical - Equipment",,,,"Fire and explosion hazards",,,,"N/A",
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/ccb030e9-159b-470f-b2fa-64137af82059/summary","HDC3-24-256","CLOSED","PENDING","C",0,"stockda","2024-10-09 05:16:48.050","2025-02-06 21:05:35.790",1,,"Flammable Liquid","2024-10-08 00:00:00","2024-10-08T23:02:00Z","2024-10-08 00:00:00","2024-10-08T23:17:00Z","2024-10-09 05:16:48.050","2024-10-09 05:16:48.050","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","COMPLETED","2025-02-06 21:56:21.315","No One",,,,,,"Incident Description_ SSD_DC – HDC3 (FIRE) – On 10/8/2024 at approximately 1917 hrs a concerned citizen approached the security desk to report that there was a fire at the propane tank and that they had contacted 911.  Law enforcement and Bethel Fire Department arrived on scene at approximately 1919 hrs.  Fire was visible by site leadership and the fire alarm was pulled by RME at 1915 hrs and an evacuation of the building ensued. Operations were resumed at 1950 hrs.  Fire was extinguished at 1936 hrs and cleared the scene at 1956 hrs.  All associates, visitors and contractors were accounted for.  No damage to building and no injuries as a result of the event. GSOC contacted. 
Recordability Rationale_ - N/A – fire/thermal event 
Training – N/A
Root Cause_ -Upon further investigation it was found that the regulator on vaporizer #1 failed.  Video footage shows a spray of propane gas shortly before ignition.  Vendor (Hiltz Propane) arrived on scene at 2230 hours and verified that the regulator had failed and as the propane leached from the valve the vaporizer ignited when it made contact with the pilot flame.  The design of the valve points downward causing the vapor to dissipate down towards the pilot light.   
Corrective Action_ 1.  RME to get quote to pipe relief valves away from the vaporizer (owner qumorgar, ECD- 10/16/2024), 2.  RME to explore possibility of having LEL detectors installed near propane tank and vaporizer area.  (owner: qumorgar, ECD – 10/16/2024), 3.  RME to obtain quote to replace vaporizer (owner: qumorgar, ECD – 10/16/2024)  4.  RME to obtain quote and explore possibility of replacing existing vaporizers with electric model (Owner: qumorgar, ECD 10/16/2024, 5.  Partner with security/LP to put a process in place to open fenced in Rally Point Area, (owner: hwwagone, ECD – 10/14/2024), 6.  Create webhook in manager slack whereby managers need to put a snip of their updated rally point app to show that they have updated their app (Owner: ttkania, ECD- 10/14/2024) 
SGT – N/A
ADAPT – N/A

","Regulator failure on vaporizer #1 of propane tank.  Venting of propane gas from failed regulator are directed down towards pilot light causing ignition.","Other","False",,"Outdoor Areas","True","True","False",,,,"COMPLETED","2025-02-06 22:00:51.177","False",,"False","False","False",,"False","False",,"False",,,"True","False","False",,"Natural","Bushfire","True","COMPLETED","2025-02-06 22:00:23.357","Inadequate engineering or design","Inadequate technical design",,"Technical - Equipment",,,,"Fire and explosion hazards",,,,"N/A",
"HDC3","AMZL","NA","US","Pennsylvania","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/f4842b1a-1c48-4e98-9bf0-d9497bccf214/summary","HDC3-25-313","CLOSED","PENDING","C",0,"stockda","2025-08-11 01:45:49.632","2025-08-21 15:47:46.790",1,,"Waste","2025-08-10 00:00:00","2025-08-10T19:00:00Z","2025-08-10 00:00:00","2025-08-10T19:01:00Z","2025-08-11 01:45:49.632","2025-08-11 01:45:49.632","Austin",,"Thermal","Safety","Fire/Flame","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","LOW","UNLIKELY","MINOR","COMPLETED","2025-08-11 14:40:09.592","No One",,,,,,"Incident Description: SSD-DC HDC3 (Fire)  At approximately 1500 hrs, a fire started in the corrugate auger. The site fire alarm was activated, and an evacuation was initiated. The local Fire Department was contacted at 1505 hrs and arrived at 1515 hrs. The fire was extinguished; however, smoke and odor persisted inside the facility.
All associates evacuated and accounted for.  Electrolytes were provided due to 90°F heat. The Fire Department was contacted and asked to return to conduct air quality readings; no hazardous levels were detected.  

Root Cause:  No root cause was established - The Fire Department sifted through the burned corrugate but did not find any batteries, metals, or other potential ignition sources. The site is awaiting a full report from the vendor to determine if the augers may have become bound by excessive cardboard, creating friction that ignited the material.

","Unknown at this time as to how the fire started, investigation is ongoing","Other","False",,"Other","True","True","False",,,,"COMPLETED","2025-08-11 16:11:20.032","False",,"False","False","False",,"False","False",,"True","Debris","Dust","False","False","False",,"Environmental","Air emission/pollution","True","COMPLETED","2025-08-11 14:57:31.856","Inadequate maintenance","Inadequate preventive maintenance",,"Technical - Equipment",,,,"Fire and explosion hazards",,,,"N/A",
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/1207b5e2-89af-4583-915d-223f46e34a5a/summary","HGA6-24-242","CLOSED","PENDING","D",0,"chymerr","2024-08-22 04:18:43.632","2025-02-06 20:49:21.890",0,,"Waste","2024-08-22 00:00:00","2024-08-23T04:00:00.751Z","2024-08-22 00:00:00","2024-08-23T04:00:00.218Z","2024-08-22 04:18:43.632","2024-08-22 04:18:43.632","Austin",,"Incident Reporting & Investigation","Management Standards","None","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE",,,,"COMPLETED","2025-02-06 21:40:31.679","No One",,,,,,"This is a case that was submitted in error. It will be sun","n/a","Employee","False",,"Driveway","False","False","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/348aa0b3-5653-4d7b-af25-3b74c9d830fa/summary","HGA6-25-567","CLOSED","PENDING","C",0,"clrea","2025-12-13 07:31:01.958","2026-01-26 15:28:10.414",1,,"Battery","2025-12-12 00:00:00","2025-12-11T04:10:00Z","2025-12-12 00:00:00","2025-12-13T04:10:00.000Z","2025-12-13 07:31:01.958","2025-12-13 07:31:01.958","Austin",,"Work Environment","Safety","Housekeeping","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","MEDIUM","POSSIBLE","MINOR","COMPLETED","2025-12-13 08:18:12.825","No One",,,,,,"On 12/12/2025 at approximately 11:10 pm Operations were alerted that there was a strong smell of something burning in aisle 126-127 or 130-131. The WHS Specialist was called to respond, and the indicated aisles were walked by Operations Managers and WHS resulting in no findings.  Another associate rolling past mentioned a strong odor in aisles 134-135. Aisles 132-133, 134-135 and 136-137 were blocked off patrolled and the source of the odor was found in aisles 134-135 alongside the 134/135/340 racking area. Further investigation indicated that a piece of PIT equipment had struck the box with the (ASIN) Hello baby happy baby monitors. There were only two of the Hello baby happy monitors that were damaged enough to destroy the casing surrounding the lithium battery contained within the monitor.  The packaging for each individual system prevented the lithium battery from burning further than outside the packaging itself. Resulting in the smell of the cardboard packaging which was initially observed. The two damaged monitors containing the lithium battery were recovered and taken to the HAZMAT cage for proper disposal. The Remaining  items in the two individual packages were taken to STOW problem solve.","OOP struck a box containing lithium components","Other","False",,"VNA (Very Narrow Aisle)","False","False","False",,,,"COMPLETED","2025-12-13 08:36:32.914","False",,"False","False","False",,"False","False",,"True","PIT","Order picker","True","False","False",,"Struck by or against","Falling/flying objects","False","COMPLETED","2025-12-13 08:52:55.723","Inadequate or missing standards or procedures","Inadequate enforcement of procedures",,"Organizational - Process",,"Improper instruction, guidance or direction",,,,,,"N/A",
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/6d8c490f-d926-48af-a852-188f9de6a8fe/summary","HGA6-25-412","CLOSED","PENDING","B",0,"shaybw","2025-09-16 13:40:36.454","2025-09-16 13:46:53.114",1,,"Waste","2025-09-14 00:00:00","2025-09-14T07:18:00Z","2025-09-15 00:00:00","2025-09-15T07:20:00Z","2025-09-16 13:40:36.454","2025-09-16 13:40:36.454","Austin",,"Fire and Explosion Hazard","Safety","Fire","UNLIKELY","SIGNIFICANT","MEDIUM","UNLIKELY","SIGNIFICANT",,,,"COMPLETED","2025-09-16 13:46:52.121","No One",,,,,,"On September 14, 2025 at approximately 03:18 a.m. the site RME team responded to a fire that occurred inside of the Cardboard Auger. The fire began as a result of overfilling the auger. 
The team responded by attempting to control the flames using a total of 11 fire extinguishers. During this time, the site also contacted emergency services; which arrived at approximately 03:40 a.m. The fire was able to be contained until Union City Fire arrived. The site was evacuated and there were no reported injuries.","Cardboard Auger was overfilled with cardboard, leading to the auguer having to overwork, which caused the fire.","Employee","False",,"Outbound Dock","True","True","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/b4e8db73-4334-49bb-9c11-47d343256b56/summary","HGA6-25-297","CLOSED","PENDING","B",0,"duplanca","2025-07-14 07:53:15.561","2025-07-16 03:36:49.841",1,,"Battery","2025-07-13 00:00:00","2025-07-13T06:51:00Z","2025-07-13 00:00:00","2025-07-13T06:55:00Z","2025-07-14 07:53:15.561","2025-07-14 07:53:15.561","Austin",,"Noise_Vibration_Work_Environment","Health","Combustible material","POSSIBLE","SIGNIFICANT","SUBSTANTIAL","POSSIBLE","SIGNIFICANT","SUBSTANTIAL","POSSIBLE","SIGNIFICANT","COMPLETED","2025-07-14 08:21:14.625","No One",,,,,,"On 07/13/2025 at 2:55am it was reported to WHS that there was a fire located in ICQA that started at 2:51am behind the leadership desk on the bakers rack that facilitated hand scanners and batteries. 2 minutes after the fire occurred at 2:53am, an associate safety committee member attempted to extinguish the fire using a fire extinguisher but was unsuccessful. At 2:55am WHS arrived on scene to attempt to extinguish the fire also with a fire extinguisher but was unsuccessful as well. WHS then pulled the fire alarm at 2:56am which initiated the sprinkler system which contain the fire until the Fire Department arrived onsite at 3:10am and to the scene of the fire at 3:13am where the fire was finally extinguished. During the event all AAs were evacuated out of the building and no injuries were sustained. During the initial investigation; reviewing camera footage, it was found the a battery on the front end of the bottom right hand corner of the bakers rack had ruptured. Although this was observed through the use of camera footage, root cause is yet to be determined as further investigation is still required. This investigation will be updated as new details arise.","ruptured battery","Employee","False",,"ICQA","True","True","True",,,,"COMPLETED","2025-07-14 08:33:58.381","False",,"False","False","False",,"False","False",,"True","Electronic equipment","Batteries","False","False","False",,"Exposure to or contact with","Fire or flame","True","COMPLETED","2025-07-14 08:44:11.981","Equipment damage","Other","Root cause is unkown but case will be updated as soon as new details surface from DRI team","Technical - Equipment",,,,"Fire and explosion hazards",,,,"N/A",
"HGA6","AMZL","NA","US","Georgia","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/dcec59c6-8479-4803-bc63-52ea80aceaef/summary","HGA6-24-168","CLOSED","PENDING","B",0,"loganph","2024-06-12 15:43:06.572","2025-02-06 20:49:21.910",0,,"Waste","2024-06-11 00:00:00","2024-06-12T06:29:00.950Z","2024-06-11 00:00:00","2024-06-12T06:30:00.991Z","2024-06-12 15:43:06.572","2024-06-12 15:43:06.572","Austin",,"Equipment_Mechanical","Safety","Other","HIGHLY_UNLIKELY","SIGNIFICANT","LOW","HIGHLY_UNLIKELY","SIGNIFICANT","LOW","HIGHLY_UNLIKELY","SIGNIFICANT","COMPLETED","2025-02-06 21:40:29.614","No One",,,,,,"SSD-DC – HGA6 (Serious Incident Near Miss, Fire) SSD-DC – HGA6 (Serious Incident Near Miss, Fire)- On 6/11/2024 at 2:27 PM , WHS was notified of smoke coming from the cardboard auger. Shortly after responding to the incident the fire alarm was activated and the site was evacuated. Upon further investigation it was found that the auger was stuffed with carboard at 100% fullness.  As the auger began to spin after placing more cardboard in it, it caused friction between the compact carboard and the auger which caused it to heat up. The combination of the heat from the carboard and the outside temperature caused a fire to start in the container. After the investigation, it was found that all Waste Management containers flag at 75% fullness in which the company is notified to come on site and change the containers. In this case, Waste Management had not yet been on site to change the containers. It was also found that the cardboard conveyors from the UIS lane don't run automatically once it hits this threshold. However, in this case 10 minutes before the fire started an AA from ABM was standing holding the override button on the side of the auger which caused the machine to run even though it was 100% full.","Auger Cardboard Caught Fire","Other","False",,"Yard","True","True","False",,,,"COMPLETED","2025-02-06 21:45:22.644","False",,"False","False","False",,"False","False",,"False",,,"True","False","False",,"Environmental","Waste management","False","COMPLETED","2025-02-06 21:47:22.998","Inadequate maintenance","Inadequate reparative maintenance",,"Organizational - Workplace",,,"Fire and explosion hazards",,,,"N/A","N/A",
"HMD3","AMZL","NA","US","Maryland","AMZL-NA-R2L","SSD DC","https://NA.ehs-amazon.com/incidents/incident/88029a77-38e1-4b6c-82d6-5ec1e4a42929/summary","HMD3-25-4","CLOSED","PENDING","D",0,"ryanpew","2025-01-06 01:50:30.539","2025-02-06 20:50:56.523",1,,"Vehicle","2025-01-05 00:00:00","2025-01-05T21:20:00Z","2025-01-05 00:00:00","2025-01-05T21:21:00Z","2025-01-06 01:50:30.539","2025-01-06 01:50:30.539","Austin",,"Motorized_Vehicle_Operation","Safety","Other","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","NEGLIGIBLE","NEGLIGIBLE","HIGHLY_UNLIKELY","SIGNIFICANT","COMPLETED","2025-02-06 21:53:21.412","No One",,,,,," On 01/05/2025 at approximately 16:20 AA was on break inside of another AA's care. The AA had left their vehicle running and got into another AA's care in the next spot over. While the AA's were hanging out in their vehicle the driver of the second vehicle pointed out to the AA that their car was smoking. The AA got out of the neighboring vehicle and opened their car door, causing the smoke to turn to fire. The AA went back to the car to attempt to retrieve belongings on at least two occasions causing burns to both of their hands. Several AA's called 911 when the fire began. When medical showed up on site at approximately 1630 they determined the AA should be flown out and the AA was transported to John's Hopkins. ","No cause of fire reported at this time","Fire Watch","False",,"Parking Lot","False","False","False",,,,"COMPLETED","2025-02-06 21:58:48.279","True","(HMD3-25-4) ","False","False","False",,"False","False",,"False",,,"False","False","False",,"Exposure to or contact with","Fire or flame","False","COMPLETED","2025-02-06 21:58:48.237","Equipment damage","Other","NA ","Human - Behaviour","Using defective equipment, vehicle",,,,,,,"N/A",
